texto,label
Lembrete da confirmação para amanhã.,produtivo
Não perca as ofertas de feliz páscoa.,improdutivo
Promoção exclusiva em comemoração a brinde.,improdutivo
Favor confirmar a videoconferência.,produtivo
Solicitamos atualização sobre o relatório.,produtivo
Agendada a orçamento às 14h.,produtivo
Convite para parabéns nesta semana.,improdutivo
Não perca as ofertas de desconto.,improdutivo
Não perca as ofertas de brinde.,improdutivo
Convite para confraternização nesta semana.,improdutivo
Favor confirmar a pauta.,produtivo
Segue anexo o documentação para validação.,produtivo
Lembrete da entrega para amanhã.,produtivo
Desconto! Aproveite esta data especial.,improdutivo
Promoção exclusiva em comemoração a desconto.,improdutivo
Convite para oferta nesta semana.,improdutivo
Não perca as ofertas de feliz natal.,improdutivo
Mensagem especial para promoção.,improdutivo
Favor confirmar a cliente.,produtivo
Convite para parabéns nesta semana.,improdutivo
Agendada a alinhamento às 14h.,produtivo
Agendada a pagamento às 14h.,produtivo
Promoção exclusiva em comemoração a datas comemorativas.,improdutivo
Mensagem especial para brinde.,improdutivo
Convite! Aproveite esta data especial.,improdutivo
Solicitamos atualização sobre o reunião.,produtivo
Promoção exclusiva em comemoração a confraternização.,improdutivo
Favor confirmar a orçamento.,produtivo
Favor confirmar a documentação.,produtivo
Confraternização! Aproveite esta data especial.,improdutivo
Não perca as ofertas de sorteio.,improdutivo
Boas festas! Aproveite esta data especial.,improdutivo
Não perca as ofertas de dia das mães.,improdutivo
Favor confirmar a videoconferência.,produtivo
Favor confirmar a manutenção.,produtivo
Feliz páscoa! Aproveite esta data especial.,improdutivo
Convite para datas comemorativas nesta semana.,improdutivo
Favor confirmar a fatura.,produtivo
Solicitamos atualização sobre o projeto.,produtivo
Favor confirmar a fatura.,produtivo
Feliz natal! Aproveite esta data especial.,improdutivo
Mensagem especial para dia das mães.,improdutivo
Promoção exclusiva em comemoração a convite.,improdutivo
Agendada a entrega às 14h.,produtivo
Segue anexo o planejamento para validação.,produtivo
Segue anexo o confirmação para validação.,produtivo
Promoção exclusiva em comemoração a boas festas.,improdutivo
Segue anexo o confirmação para validação.,produtivo
Favor confirmar a deadline.,produtivo
Favor confirmar a confirmação.,produtivo
Não perca as ofertas de convite.,improdutivo
Promoção exclusiva em comemoração a happy hour.,improdutivo
Solicitamos atualização sobre o planejamento.,produtivo
Não perca as ofertas de promoção.,improdutivo
Agendada a cliente às 14h.,produtivo
Mensagem especial para parabéns.,improdutivo
Convite para dia das mães nesta semana.,improdutivo
Não perca as ofertas de promoção imperdível.,improdutivo
Promoção exclusiva em comemoração a presente.,improdutivo
Segue anexo o deadline para validação.,produtivo
Não perca as ofertas de desconto.,improdutivo
Solicitamos atualização sobre o confirmação.,produtivo
Não perca as ofertas de feliz páscoa.,improdutivo
Mensagem especial para oferta.,improdutivo
Segue anexo o confirmação para validação.,produtivo
Lembrete da alinhamento para amanhã.,produtivo
Convite para feliz aniversário nesta semana.,improdutivo
Não perca as ofertas de parabéns.,improdutivo
Favor confirmar a projeto.,produtivo
Promoção exclusiva em comemoração a confraternização.,improdutivo
Não perca as ofertas de feliz natal.,improdutivo
Mensagem especial para datas comemorativas.,improdutivo
Solicitamos atualização sobre o manutenção.,produtivo
Convite para brinde nesta semana.,improdutivo
Favor confirmar a projeto.,produtivo
Mensagem especial para happy hour.,improdutivo
Segue anexo o deadline para validação.,produtivo
Agendada a pagamento às 14h.,produtivo
Brinde! Aproveite esta data especial.,improdutivo
Não perca as ofertas de feliz natal.,improdutivo
Convite para happy hour nesta semana.,improdutivo
Solicitamos atualização sobre o deadline.,produtivo
Mensagem especial para datas comemorativas.,improdutivo
Segue anexo o entrega para validação.,produtivo
Mensagem especial para desconto.,improdutivo
Solicitamos atualização sobre o cliente.,produtivo
Favor confirmar a pauta.,produtivo
Convite! Aproveite esta data especial.,improdutivo
Promoção exclusiva em comemoração a presente.,improdutivo
Feliz páscoa! Aproveite esta data especial.,improdutivo
Favor confirmar a relatório.,produtivo
Favor confirmar a pagamento.,produtivo
Lembrete da manutenção para amanhã.,produtivo
Segue anexo o projeto para validação.,produtivo
Convite para oferta nesta semana.,improdutivo
Agendada a alinhamento às 14h.,produtivo
Solicitamos atualização sobre o projeto.,produtivo
Agendada a deadline às 14h.,produtivo
Favor confirmar a entrega.,produtivo
Não perca as ofertas de boas festas.,improdutivo
Promoção exclusiva em comemoração a dia das mães.,improdutivo
Segue anexo o cliente para validação.,produtivo
Favor confirmar a documentação.,produtivo
Favor confirmar a projeto.,produtivo
Mensagem especial para datas comemorativas.,improdutivo
Lembrete da documentação para amanhã.,produtivo
Mensagem especial para datas comemorativas.,improdutivo
Promoção exclusiva em comemoração a presente.,improdutivo
Favor confirmar a pauta.,produtivo
Convite para feliz páscoa nesta semana.,improdutivo
Lembrete da alinhamento para amanhã.,produtivo
Promoção exclusiva em comemoração a desconto.,improdutivo
Agendada a cliente às 14h.,produtivo
Solicitamos atualização sobre o projeto.,produtivo
Solicitamos atualização sobre o pagamento.,produtivo
Não perca as ofertas de boas festas.,improdutivo
Mensagem especial para desconto.,improdutivo
Lembrete da orçamento para amanhã.,produtivo
Não perca as ofertas de dia das mães.,improdutivo
Lembrete da pauta para amanhã.,produtivo
Promoção exclusiva em comemoração a feliz páscoa.,improdutivo
Agendada a projeto às 14h.,produtivo
Dia das mães! Aproveite esta data especial.,improdutivo
Lembrete da confirmação para amanhã.,produtivo
Segue anexo o fatura para validação.,produtivo
Segue anexo o pauta para validação.,produtivo
Agendada a entrega às 14h.,produtivo
Segue anexo o reunião para validação.,produtivo
Não perca as ofertas de sorteio.,improdutivo
Agendada a orçamento às 14h.,produtivo
Lembrete da projeto para amanhã.,produtivo
Segue anexo o documentação para validação.,produtivo
Convite para parabéns nesta semana.,improdutivo
Não perca as ofertas de oferta.,improdutivo
Sorteio! Aproveite esta data especial.,improdutivo
Promoção exclusiva em comemoração a sorteio.,improdutivo
Não perca as ofertas de presente.,improdutivo
Promoção exclusiva em comemoração a oferta.,improdutivo
Não perca as ofertas de promoção.,improdutivo
Promoção exclusiva em comemoração a confraternização.,improdutivo
Não perca as ofertas de promoção.,improdutivo
Segue anexo o confirmação para validação.,produtivo
Segue anexo o projeto para validação.,produtivo
Agendada a planejamento às 14h.,produtivo
Promoção exclusiva em comemoração a sorteio.,improdutivo
Promoção exclusiva em comemoração a sorteio.,improdutivo
Convite para parabéns nesta semana.,improdutivo
Solicitamos atualização sobre o planejamento.,produtivo
Segue anexo o alinhamento para validação.,produtivo
Mensagem especial para feliz natal.,improdutivo
Mensagem especial para sorteio.,improdutivo
Convite para feliz aniversário nesta semana.,improdutivo
Sorteio! Aproveite esta data especial.,improdutivo
Happy hour! Aproveite esta data especial.,improdutivo
Favor confirmar a manutenção.,produtivo
Segue anexo o projeto para validação.,produtivo
Não perca as ofertas de happy hour.,improdutivo
Agendada a contrato às 14h.,produtivo
Favor confirmar a deadline.,produtivo
Não perca as ofertas de feliz aniversário.,improdutivo
Solicitamos atualização sobre o pagamento.,produtivo
Segue anexo o manutenção para validação.,produtivo
Feliz aniversário! Aproveite esta data especial.,improdutivo
Solicitamos atualização sobre o planejamento.,produtivo
Promoção exclusiva em comemoração a confraternização.,improdutivo
Promoção exclusiva em comemoração a parabéns.,improdutivo
Mensagem especial para dia das mães.,improdutivo
Convite para brinde nesta semana.,improdutivo
Lembrete da documentação para amanhã.,produtivo
Convite para boas festas nesta semana.,improdutivo
Agendada a planejamento às 14h.,produtivo
Agendada a projeto às 14h.,produtivo
Segue anexo o confirmação para validação.,produtivo
Solicitamos atualização sobre o documentação.,produtivo
Segue anexo o pauta para validação.,produtivo
Sorteio! Aproveite esta data especial.,improdutivo
Promoção exclusiva em comemoração a sorteio.,improdutivo
Agendada a orçamento às 14h.,produtivo
Favor confirmar a documentação.,produtivo
Convite para sorteio nesta semana.,improdutivo
Lembrete da entrega para amanhã.,produtivo
Agendada a pauta às 14h.,produtivo
Favor confirmar a entrega.,produtivo
Lembrete da reunião para amanhã.,produtivo
Lembrete da pauta para amanhã.,produtivo
Lembrete da contrato para amanhã.,produtivo
Favor confirmar a projeto.,produtivo
Promoção exclusiva em comemoração a dia das mães.,improdutivo
Solicitamos atualização sobre o fatura.,produtivo
Convite para convite nesta semana.,improdutivo
Segue anexo o deadline para validação.,produtivo
Favor confirmar a reunião.,produtivo
Segue anexo o relatório para validação.,produtivo
Promoção! Aproveite esta data especial.,improdutivo
Promoção exclusiva em comemoração a promoção imperdível.,improdutivo
Lembrete da orçamento para amanhã.,produtivo
Favor confirmar a fatura.,produtivo
Não perca as ofertas de boas festas.,improdutivo
Promoção! Aproveite esta data especial.,improdutivo
Não perca as ofertas de promoção imperdível.,improdutivo
